id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
8695	genus	Leptospira	16	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
8696	genus	Francisella	62	1	3	3	3.0	2.92	0.33	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]
8697	genus	Chelativorans	1	2	2	2	2	2.00	0.00	[2]
8698	genus	Brevibacillus	3	12	17		15	14.67	2.05	[15, 12, 17]
8699	genus	Candidatus Solibacter	1	2	2	2	2	2.00	0.00	[2]
8700	genus	Legionella	77	3	4	3	3	3.09	0.29	[3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]
8701	genus	Tistrella	1	4	4	4	4	4.00	0.00	[4]
8702	genus	Kocuria	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
8703	genus	Stackebrandtia	1	2	2	2	2	2.00	0.00	[2]
8704	genus	Thermoanaerobacter	8	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4]
8705	genus	Haliangium	1	2	2	2	2	2.00	0.00	[2]
8706	genus	Renibacterium	1	2	2	2	2	2.00	0.00	[2]
8707	genus	Acidiferrobacter	2	1	1	1	1.0	1.00	0.00	[1, 1]
8708	genus	Salinibacter	2	1	1	1	1.0	1.00	0.00	[1, 1]
8709	genus	Enterobacter	66	7	9	8	8.0	7.97	0.24	[8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8]
8710	genus	Rhodomicrobium	1	2	2	2	2	2.00	0.00	[2]
8711	genus	Anaerobaculum	1	2	2	2	2	2.00	0.00	[2]
8712	genus	Photobacterium	5	9	15	15	15	12.60	2.94	[15, 9, 15, 9, 15]
8713	genus	Halobacteriovorax	1	2	2	2	2	2.00	0.00	[2]
8714	genus	Turicibacter	1	12	12	12	12	12.00	0.00	[12]
8715	genus	Variovorax	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
8716	genus	Dermacoccus	1	3	3	3	3	3.00	0.00	[3]
8717	genus	Cesiribacter	1	5	5	5	5	5.00	0.00	[5]
8718	genus	Amycolicicoccus	1	3	3	3	3	3.00	0.00	[3]
8719	genus	Caldithrix	1	1	1	1	1	1.00	0.00	[1]
8720	genus	Denitrobacterium	1	3	3	3	3	3.00	0.00	[3]
8721	genus	Melissococcus	1	4	4	4	4	4.00	0.00	[4]
8722	genus	Roseibacterium	1	2	2	2	2	2.00	0.00	[2]
